milestone, 1, 2, 3, 5, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100
45069.7 , 45754.2 , 46428.9 , 46932.3 , 47392.6 , 50709.1 , 51096.2 , 51317.8 , 51512.9 , 51776.7 , 52284.2 , 52368.9 , 52611.6 , 52606.8 , 
59234.4 , 59299.7 , 59537.7 , 59664.6 , 59878.8 , 60131.7 , 60199.5 , 60320.5 , 60168.5 , 60304.5 , 60388.7 , 60380.4 , 60275 , 60372.3 , 
27486.4 , 28792.7 , 29426.9 , 31020.7 , 32428.1 , 36292.8 , 36350.5 , 37242.5 , 37712.5 , 37899.8 , 38319.9 , 38558.6 , 38772 , 38772 , 
9398.74 , 10414.8 , 10786.1 , 11456.8 , 12769.8 , 14774.6 , 15092 , 15556.7 , 15693 , 15768.1 , 15862.2 , 15951.1 , 16039.4 , 16036.9 , 
13411.1 , 14961.6 , 15701.4 , 16315.5 , 17779.4 , 20332.9 , 20685.9 , 21059.1 , 21254 , 21624.8 , 21763.8 , 21806.7 , 21874.4 , 21863.5 , 
27473.6 , 28446.9 , 29159.5 , 30058 , 31364.9 , 35825.4 , 36225.5 , 36808.2 , 37210.7 , 37330.2 , 37555.1 , 37555.1 , 37703.9 , 37703.9 , 
76762.7 , 78934.6 , 79612.8 , 81501.4 , 83412.8 , 89857.6 , 90272.9 , 92204 , 92911 , 93465.1 , 94273.3 , 94548.9 , 94891.8 , 94892.5 , 
68227 , 70415.6 , 71924.8 , 74121.9 , 76860.2 , 84335.9 , 84920.3 , 86979.1 , 87755.2 , 89092.7 , 89407.8 , 89564.6 , 90112.8 , 90103.1 , 
96515.5 , 97621.2 , 98218.1 , 99196.3 , 99897.8 , 102619 , 102979 , 103586 , 103409 , 103686 , 103545 , 104047 , 104078 , 104105 , 
22067.4 , 24456.3 , 25063.4 , 26872.4 , 29455.6 , 34214.1 , 34661 , 35629.7 , 35962.2 , 36394.4 , 36594.7 , 36812.9 , 37148.7 , 37164.8 , 
